3 - & Mosquetón con Esmerillón PETER - 1 ce 10 | Bolsa x 100 u. | pe-163
3 - & Mosquetón con Esmerillón PETER - 1 ce 12 | Bolsa x 100 u. | pe-164
3 - & Mosquetón con Esmerillón PETER - 2 ce 9 | Bolsa x 100 u. | pe-166
3 - & Mosquetón con Esmerillón PETER - 4 ce 3 | Bolsa x 100 u. | pe-168
3 - & Mosquetón con Esmerillón PETER - 4 ce 5 | Bolsa x 100 u. | pe-169
3 - & Mosquetones Simples PETER - N° 0 | Bolsa x 100 u. | pe-175
3 - & Mosquetones Simples PETER - N° 1 | Bolsa x 100 u. | pe-176
3 - & Mosquetones Simples PETER - N° 2 | Bolsa x 100 u. | pe-177
3 - & Mosquetones Simples PETER - N° 3 | Bolsa x 100 u. | pe-178
3 - & Mosquetones Simples PETER - N° 4 | Bolsa x 100 u. | pe-179
3 - & Mosquetones Simples PETER - N° 5 | Bolsa x 100 u. | pe-180
3 - & PORTACAÑA TAC de Goma - Chico - | uni | pe-227
3 - *Adaptador macho pin fino a hembra gruesa. JA -TVC0048 | uni | 
3 - *Adaptador macho pin grueso a hembra fino. JA -TVC0047 | uni | 
3 - *Adaptador Tel. hembra a hembra. JA -TET0085 | uni | 
3 - *Adaptador Tel. macho Rj.11 a 2 hembras. JA -TET0086 | uni | 
3 - *Antena Avispa. JA -TVA0073 | uni | 
3 - *Aplique de iluminación Classic *Oferta* -TA0090 | uni | 
3 - *Balasto Electronico 20W - 300142 | uni | 
3 - *Balasto Electronico 40W - 300143 | uni | 
3 - *cable 1 x 1,00 blanco bobina | mts. | 
3 - *cable 1 x 1,00 celeste bobina | mts. | 
3 - *cable 1 x 1,00 celeste rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,00 marron  rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,00 marron bobina | mts. | 
3 - *cable 1 x 1,00 negro  rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,00 negro bobina | mts. | 
3 - *cable 1 x 1,00 rojo  rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,00 rojo bobina | mts. | 
3 - *cable 1 x 1,00 verd/amar  rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,00 verd/amar bobina | mts. | 
3 - *cable 1 x 1,50  rojo bobina | mts. | 
3 - *cable 1 x 1,50  ver/amar bobina | mts. | 
3 - *cable 1 x 1,50  ver/amar rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,50 blanco   rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,50 blanco bobina | mts. | 
3 - *cable 1 x 1,50 blanco rollo x 100 mts. Normalizado Iram 247 | mts. | 
3 - *cable 1 x 1,50 celeste  rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,50 celeste bobina | mts. | 
3 - *cable 1 x 1,50 celeste rollo x 100 mts. Normalizado Iram 247 | mts | 
0 - *cable 1 x 1,50 marron  rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,50 marron bobina | mts. | 
3 - *cable 1 x 1,50 marron rollo x 100 mts. Normalizado Iram 247 | mts. | 
3 - *cable 1 x 1,50 negro  rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,50 negro bobina | mts. | 
3 - *cable 1 x 1,50 negro rollo x 100 mts. Normalizado Iram 247 | mts. | 
0 - *cable 1 x 1,50 rojo rollo x 100 mts. | mts. | 
3 - *cable 1 x 1,50 rojo rollo x 100 mts. Normalizado Iram 247 | mts | 
3 - *cable 1 x 10,00 celeste rollo x 100 mts | mts. | 
3 - *cable 1 x 10,00 rojo bobina | mts. | 
